name,symbol,tv_symbol,eod_symbol,y_symbol
Commercial International Bank (COMI ),COMI,EGX:COMI,COMI.CA,COMI.CA
El Sewedy Electric Company,SWDY,EGX:SWDY,SWDY.CA,SWDY.CA
Eastern Company,EAST,EGX:EAST,EAST.CA,EAST.CA
Talaat Moustafa Group Holding,TMGH,EGX:TMGH,TMGH.CA,TMGH.CA
Telecom Egypt,ETEL,EGX:ETEL,ETEL.CA,ETEL.CA
Misr Fertilizer Production Company,MFPC,EGX:MFPC,MFPC.CA,MFPC.CA
Abu Qir Fertilizers and Chemical Industries,ABUK,EGX:ABUK,ABUK.CA,ABUK.CA
Egypt Aluminum,EGAL,EGX:EGAL,EGAL.CA,EGAL.CA
QNB Alahli (Qatar National Bank),QNBE,EGX:QNBE,QNBE.CA,QNBE.CA
Alexandria Container & Cargo Handling Company,ALCN,EGX:ALCN,ALCN.CA,ALCN.CA
Fawry for Banking Technology and Electronic Payments,FWRY,EGX:FWRY,FWRY.CA,FWRY.CA
Emaar Misr for Development Company,EMFD,EGX:EMFD,EMFD.CA,EMFD.CA
Orascom Construction,ORAS,EGX:ORAS,ORAS.CA,ORAS.CA
e-finance for Digital and Financial Investments,EFIH,EGX:EFIH,EFIH.CA,EFIH.CA
EFG Holding,HRHO,EGX:HRHO,HRHO.CA,HRHO.CA
Ferchem Misr,FERC,EGX:FERC,FERC.CA,FERC.CA
Housing and Development Bank,HDBK,EGX:HDBK,HDBK.CA,HDBK.CA
Beltone Holding,BTFH,EGX:BTFH,BTFH.CA,BTFH.CA
Faisal Islamic Bank of Egypt,FAIT,EGX:FAIT,FAIT.CA,FAIT.CA
Juhayna Food Industries,JUFO,EGX:JUFO,JUFO.CA,JUFO.CA
Abu Dhabi Islamic Bank - Egypt,ADIB,EGX:ADIB,ADIB.CA,ADIB.CA
GB Corp,GBCO,EGX:GBCO,GBCO.CA,GBCO.CA
Orascom Development Egypt,ORHD,EGX:ORHD,ORHD.CA,ORHD.CA
Credit Agricole Egypt,CIEB,EGX:CIEB,CIEB.CA,CIEB.CA
Egyptian Chemical Industries,EGCH,EGX:EGCH,EGCH.CA,EGCH.CA
Palm Hills Developments,PHDC,EGX:PHDC,PHDC.CA,PHDC.CA
Export Development Bank of Egypt,EXPA,EGX:EXPA,EXPA.CA,EXPA.CA
Egyptian Financial and Industrial,EFIC,EGX:EFIC,EFIC.CA,EFIC.CA
Suez Canal Company for Technology Settling,SCTS,EGX:SCTS,SCTS.CA,SCTS.CA
Sidi Kerir Petrochemicals,SKPC,EGX:SKPC,SKPC.CA,SKPC.CA
TAQA Arabia,TAQA,EGX:TAQA,TAQA.CA,TAQA.CA
Suez Canal Bank,CANA,EGX:CANA,CANA.CA,CANA.CA
The United Bank,UBEE,EGX:UBEE,UBEE.CA,UBEE.CA
U Consumer Finance,VALU,EGX:VALU,VALU.CA,VALU.CA
Arabian Cement Company,ARCC,EGX:ARCC,ARCC.CA,ARCC.CA
Cleopatra Hospitals Group,CLHO,EGX:CLHO,CLHO.CA,CLHO.CA
Oriental Weavers Carpets,ORWE,EGX:ORWE,ORWE.CA,ORWE.CA
Heliopolis Co. for Housing & Development,HELI,EGX:HELI,HELI.CA,HELI.CA
Sinai Cement,SCEM,EGX:SCEM,SCEM.CA,SCEM.CA
Misr National Steel - Ataqa,ATQA,EGX:ATQA,ATQA.CA,ATQA.CA
Nilesat (EGSA),EGSA,EGX:EGSA,EGSA.CA,EGSA.CA
Raya Holding,RAYA,EGX:RAYA,RAYA.CA,RAYA.CA
MM Group for Industry and International Trade,MTIE,EGX:MTIE,MTIE.CA,MTIE.CA
Edita Food Industries,EFID,EGX:EFID,EFID.CA,EFID.CA
Egyptian International Pharmaceutical Industries,PHAR,EGX:PHAR,PHAR.CA,PHAR.CA
Ibnsina Pharma,ISPH,EGX:ISPH,ISPH.CA,ISPH.CA
Misr Hotels,MHOT,EGX:MHOT,MHOT.CA,MHOT.CA
Alexandria Mineral Oils,AMOC,EGX:AMOC,AMOC.CA,AMOC.CA
Cairo Poultry,POUL,EGX:POUL,POUL.CA,POUL.CA
alBaraka Bank Egypt,SAUD,EGX:SAUD,SAUD.CA,SAUD.CA
Egyptian Resorts Company,EGTS,EGX:EGTS,EGTS.CA,EGTS.CA
Madinet Masr,MASR,EGX:MASR,MASR.CA,MASR.CA
Cairo For Investment And Real Estate (CIRA),CIRA,EGX:CIRA,CIRA.CA,CIRA.CA
Electro Cable Egypt,ELEC,EGX:ELEC,ELEC.CA,ELEC.CA
Canal Shipping Agencies,CSAG,EGX:CSAG,CSAG.CA,CSAG.CA
Misr Beni Suef Cement,MBSC,EGX:MBSC,MBSC.CA,MBSC.CA
Taaleem Management Services,TALM,EGX:TALM,TALM.CA,TALM.CA
Obour Land for Food Industries,OLFI,EGX:OLFI,OLFI.CA,OLFI.CA
International Company for Agricultural Crops,IFAP,EGX:IFAP,IFAP.CA,IFAP.CA
Delta Sugar Company,SUGR,EGX:SUGR,SUGR.CA,SUGR.CA
CI Capital Holding,CICH,EGX:CICH,CICH.CA,CICH.CA
Misr Cement (Qena),MCQE,EGX:MCQE,MCQE.CA,MCQE.CA
Gadwa for Industrial Development,GDWA,EGX:GDWA,GDWA.CA,GDWA.CA
Egyptian Media Production City,MPRC,EGX:MPRC,MPRC.CA,MPRC.CA
Egyptian Gulf Bank,EGBE,EGX:EGBE,EGBE.CA,EGBE.CA
Alexandria New Medical Center,AMES,EGX:AMES,AMES.CA,AMES.CA
Rameda (Tenth of Ramadan for Pharmaceutical Industries),RMDA,EGX:RMDA,RMDA.CA,RMDA.CA
B Investments Holding,BINV,EGX:BINV,BINV.CA,BINV.CA
Orascom Investment Holding,OIH,EGX:OIH,OIH.CA,OIH.CA
Egypt Gas,EGAS,EGX:EGAS,EGAS.CA,EGAS.CA
Iron & Steel for Mines & Quarries,ISMQ,EGX:ISMQ,ISMQ.CA,ISMQ.CA
Bonyan for Development and Trade,BONY,EGX:BONY,BONY.CA,BONY.CA
Acrow Misr,ACRO,EGX:ACRO,ACRO.CA,ACRO.CA
QALA For Financial Investments,CCAP,EGX:CCAP,CCAP.CA,CCAP.CA
DOMTY (Arabian Food Industries),DOMT,EGX:DOMT,DOMT.CA,DOMT.CA
GlaxoSmithKline (BIOC),BIOC,EGX:BIOC,BIOC.CA,BIOC.CA
